"NAME","VPIP","PFR","CBET","AF","WSD","hands"
"7e4444fe",31,23,0,0.75,100,13
"b7fd0014",50,0,NA,0,NA,2
"4e673fe8",47,33,20,0.33,100,15
"3e7f01b6",89,33,33,0.3,50,9
"cb0f0254",38,12,67,2.5,75,26
"651ed6bb",75,0,NA,4.5,67,8
"13571352",80,40,0,2,0,5
"df909eda",47,20,33,1.33,100,15
"5c41fce8",75,50,50,1.5,0,4
"0706dba3",100,100,0,0,0,1
"4bed3115",100,0,NA,2,100,3
"c6e11d0d",47,20,67,4,0,15
"9753db94",75,38,33,0.5,0,8
"73922bfd",100,100,0,0,0,1
"541e757f",28,28,0,0,80,36
"fc972ac1",47,13,50,0.75,33,15
"d4a89d52",73,40,17,2,83,15
"b33c8cc6",36,18,0,1.5,67,11
"f953a9cb",50,25,0,1.14,69,56
"aa14bb4f",42,32,33,4,NA,19
"cfac7c41",74,53,0,0,100,19
"b1f4b03d",50,25,0,0.4,50,14
"d95ae95b",67,33,0,0,0,6
"f5423479",54,18,20,2.33,86,28
"598152ec",26,11,0,0.5,50,19
"245f9146",100,0,NA,1,50,2
"58f7d4ab",80,60,0,0,0,5
"13e53279",22,0,NA,0,100,9
"295e00e9",71,44,15,0.87,50,46
"e495587b",53,36,15,9,62,45
"79f4ecc3",41,35,0,0,25,17
"74960c51",73,36,0,1,20,11
"42cad893",56,44,0,0,0,10
"a4913392",100,100,0,0,0,3
"da5606ae",21,0,NA,3,67,14
"cf4dac14",58,16,0,3.5,100,31
"c05720ff",27,5,0,2,0,23
"a0a0264f",48,17,50,0.57,71,23
"1a344fd1",55,36,0,0,33,11
"1aa801ab",57,14,0,0,0,7
"c79307c6",100,67,0,0,0,3
"b799f0f1",61,30,0,0.6,50,23
"998f5f4f",67,0,NA,0,0,3
"a00d077a",100,85,0,1,50,16
"b78242f5",100,100,0,0,0,1
"db39dc43",100,0,NA,0,0,1
"5d29ed09",22,0,NA,0,NA,10
"d4df18b6",50,40,50,7,100,10
"f6eb6fc0",54,15,0,0.67,0,13
"812342b0",48,35,18,7,43,31
"f07f5cd0",100,17,0,0.4,100,6
"8522e7e6",100,100,100,3,0,1
"87caf6ca",100,100,0,0,0,1
"96ceac87",75,25,0,1,100,4
"982c0bb1",60,40,50,5,0,5
"f5a86d8e",38,23,0,1.5,50,13
"1f10840b",100,50,0,0,100,2
"5f0af023",50,0,NA,1,100,2
"50f4bc18",33,33,25,3,25,12
"1a9e95d4",82,24,0,4,80,25
"bbab3113",50,25,0,2,0,28
"a2b06824",29,10,0,1,83,31
"e7dd3cb7",37,17,0,4,80,52
"524eb77b",47,15,8,0.71,59,83
"5d0bf2b1",46,35,0,0,40,26
"2dbcaed2",33,17,0,2,0,8
"bbe79ace",57,35,0,0.6,86,48
"ef3e29fd",100,50,0,1,0,2
"4b63b7eb",71,14,33,10,100,21
"42305f43",44,0,NA,0.6,0,9
"8c4303b6",60,40,33,2,67,15
"a8c3b27d",69,15,0,0.33,50,13
"6b47917e",78,67,0,1,100,9
"d44cea5c",22,0,NA,0,0,9
"cab6440d",54,29,8,1.75,60,54
"d6dca20a",47,37,29,2,0,19
"57103617",62,50,50,3.5,0,8
"5fa6d2eb",47,24,25,6,60,20
"c3ea0f90",29,21,0,0,0,14
"28bb7768",68,11,0,1.8,43,31
"40cfa27d",67,7,50,1.5,71,27
"feab68ba",40,15,12,0.9,75,56
"40d194d2",60,60,67,3,0,5
"36d27e38",90,20,0,1.2,100,12
"66410bfa",50,50,100,1,0,2
"cea11afe",67,33,50,2,50,6
"e7d46876",54,11,25,1.12,50,35
"317e6299",33,17,50,4,0,12
"b384b8c7",55,30,17,0.8,33,20
"3fa5ac70",33,0,NA,2,0,3
"7d8ea289",100,0,NA,0,NA,1
"b83bf5a5",40,40,50,1.5,33,6
"9e12b2a9",32,7,0,0.5,67,28
"e8f351a7",69,31,25,6,0,13
"52be5037",100,60,67,1.5,33,6
"d627ff35",58,17,0,3,100,13
"d3bf18b3",67,0,NA,3,100,3
"c6a44922",33,0,NA,0,NA,3
"b0392df9",54,8,50,1.15,25,24
"7791076d",83,0,NA,2,33,6
"fb1e7a5f",75,50,0,0,50,4
"829660a3",25,0,NA,0,100,4
"2d0c4f1a",50,0,NA,0,0,2
"dbc9ed9c",40,26,16,5,29,72
"fabadd86",100,0,NA,0.5,0,2
"619694d0",73,45,0,0.83,25,11
"1238da1e",42,25,20,1.17,62,60
"169dd1b0",93,73,36,2,0,15
"74915592",45,20,22,0.83,70,44
"4200d48c",60,13,0,0.33,0,16
"9736d401",30,15,0,8,0,20
"48bd9dae",100,0,NA,1,0,1
"4330e9b6",40,30,33,2,0,10
"1ed1570d",49,9,25,3.4,40,45
"979538da",54,0,NA,2,50,13
"915a6363",71,0,NA,1,33,7
"d6845aa2",55,35,29,1.2,67,20
"46b39a61",28,26,10,1,60,39
"e8e54d1a",45,5,0,1.75,67,20
"479b8831",71,71,40,2,0,7
"ccc9863d",42,17,0,3,60,24
"75976cb8",71,36,40,0.83,50,14
"2cea731e",43,21,67,7,100,14
"08fdabd9",50,18,60,1.57,80,28
"a5638061",73,73,9,2,43,19
"927f29de",47,26,0,5,67,19
"814f4e49",58,5,0,1,50,19
"bab71441",75,50,0,1.5,56,20
"26852816",24,6,0,0,75,17
"f9731fc2",62,12,0,3,75,8
"5d4d5325",40,29,8,1.75,70,42
"ba390bae",67,50,0,1,33,6
"d9afe400",58,12,0,2,17,24
"aabf8bab",57,19,0,2.5,50,21
"a4176d38",50,25,100,4,100,4
"60139bd7",100,0,NA,1,0,3
"5a92b650",42,25,0,0.33,75,13
"430aa037",50,17,0,0,50,7
"ea2e66d8",80,60,0,2,0,5
"f18410ea",75,50,0,0,0,4
"8eeec71c",47,47,14,3,67,15
"02476060",54,23,33,0.5,50,15
"d16b69d9",40,30,0,3,67,10
"29201c48",62,25,0,2,33,8
"21092d9d",31,8,50,4.2,62,51
"97280816",70,20,33,1.86,43,37
"73eeccfb",67,0,NA,0.25,25,6
"f3df86ed",60,10,0,2.33,80,10
"ac6609a0",75,8,0,0,25,12
"13446a6a",60,30,67,2.5,0,10
"52ab7d0d",44,24,67,6,50,25
"9903d171",40,0,NA,1,0,5
"697df130",56,28,20,4,50,18
"5a71878d",88,25,50,5,100,8
"16d3368f",38,12,100,2,0,8
"a79eb211",100,50,0,0,0,2
"ac42b928",75,42,40,0.71,80,12
"c7ffe2ae",73,36,0,2,100,11
"28112214",25,0,NA,2,0,4
"72b5c7ed",59,39,12,7,60,41
"b6e4562d",68,26,40,2,43,19
"33b92684",67,17,0,1,100,6
"c3a50153",85,31,100,3.5,50,13
"e609706b",67,25,67,1.5,67,12
"32972485",42,8,100,3,0,12
"9d675f16",55,9,0,1,67,11
"57c903fe",58,33,17,3.2,56,55
"294b5fe7",44,22,0,2,0,9
"a80feca8",50,0,NA,0,0,2
"7762b90b",27,18,0,1,0,11
"00b16c72",60,0,NA,0.5,0,5
"05aad701",20,0,NA,0,NA,5
"59a8e2f2",80,60,0,1,100,5
"b478b8b7",37,30,12,1,40,27
"bc050f7c",70,3,100,2.4,67,30
"9eb1c68e",51,21,0,1.22,56,50
"fcc97e22",40,12,0,4,50,25
"a2598fe6",33,33,0,1.33,25,18
"444d91b3",44,10,0,1.6,83,46
"3d8ba8a4",54,32,17,0.83,60,38
"086544a9",45,18,0,3,0,11
"5c094ee1",33,15,0,1,57,39
"6c9ffcb9",40,0,NA,0.4,0,5
"13b12496",26,17,25,0.88,57,23
"a67b9fb8",45,9,0,2,25,11
"17090ac7",50,19,17,1.5,38,33
"9b4bef61",47,21,14,6,60,34
"e90abf0d",36,36,25,4,NA,13
"ce0dac4e",58,32,17,0.86,60,19
"252489e1",55,36,25,0.67,0,11
"1f0661d1",31,23,33,0.75,100,13
"0d9229bd",62,15,50,8,25,13
"2d1e1b3c",58,32,17,2,60,21
"30f46acf",100,50,0,1,100,4
"34ae294e",37,21,0,2,50,78
"fea883d8",39,26,17,0.67,33,23
"5b8008a1",70,39,11,10,50,25
"f295bbfd",38,23,67,1.33,33,13
"15abe96f",41,24,25,6,67,18
"f6819666",50,50,0,0,0,3
"11e8f2b7",76,43,56,4,80,21
"11560081",62,24,40,1.4,33,21
"e481075f",50,0,NA,0.4,57,22
"7e36480a",57,10,20,6.33,43,51
"84296bc3",30,3,0,1.83,80,63
"de639c23",54,34,12,1.83,22,56
"4632094f",50,44,38,1.33,60,18
"375ba629",65,29,0,0.75,83,21
"1fd00c10",61,11,0,1,33,18
"2df40599",13,13,0,0,0,23
"9b583ff4",20,20,0,1,0,20
"f1145af3",58,37,14,3.5,0,19
"d6330434",100,50,0,0.67,33,4
"1230e55b",59,6,0,0.4,33,17
"93665027",23,23,0,0,0,13
"7285fe76",71,65,18,2,25,17
"35a3eb04",47,18,17,4,0,34
"12dfff42",48,42,36,2.5,33,33
"0f7df9ef",31,15,25,3,33,26
"4c847cf5",53,12,0,1.14,67,58
"a14c4f8a",47,13,0,0.6,50,15
"19921365",73,40,33,2.2,75,15
"be70e898",34,25,18,1.17,57,44
"d99b1081",67,0,NA,0,0,4
"de1fbb32",59,24,25,0.36,60,17
"d184ffbe",60,20,0,0,0,5
"249811a9",42,33,12,3.67,31,76
"33408889",100,0,NA,1,0,3
"dd22fa18",8,0,NA,0,NA,12
"ca2e930c",60,60,17,2,100,12
"ecdc81c5",100,33,0,2,0,3
"cca6e35e",42,17,27,4.17,69,86
"e3be54c2",61,50,56,2.75,50,18
"5e29214f",78,22,75,0.88,71,18
"c15bf5fd",91,27,67,1.67,20,11
"c28b5fda",54,21,17,1,55,32
"6dcf7ea2",52,20,60,2.17,29,25
"e3020e1b",59,6,0,1.12,78,32
"b359ef0e",58,11,0,1.75,57,23
"ddee91ab",36,36,12,2,50,22
"8d44100e",62,42,18,3.5,100,27
"cc5991c2",100,0,NA,1,0,1
